,bhk,price,size,location
285,2,45.4,1056,KAHILIPARA
286,1,23.4,450,LAL GANESH
287,2,66.37,1475,JAYANAGAR
288,3,75.21,1433,BELTOLA
289,2,59.73,1117,BELTOLA
290,2,58.0,1160,SIX MILE
291,2,66.37,1475,JAYANAGAR
292,2,39.11,1003,SIX MILE
293,4,103.0,2285,BELTOLA
294,4,81.3,1840,DISPUR
295,3,45.38,948,DHARAPUR
296,3,65.85,1400,DHARAPUR
297,3,51.43,778,DHARAPUR
298,3,61.53,1323,DHARAPUR
299,3,38.53,948,DHARAPUR
300,3,41.53,932,DISPUR
301,3,55.3,1400,DHARAPUR
302,3,71.53,1560,REHABARI
303,4,74.56,1958,AZARA
304,3,65.4,1690,DISPUR
305,3,74.0,1770,BELTOLA
306,3,61.35,1321,BELTOLA
307,4,86.56,2200,REHABARI
308,3,81.28,1950,KAHILIPARA
309,3,76.86,1695,ULUBARI
310,3,91.8,1985,BELTOLA
311,3,73.53,1337,AZARA
312,3,105.0,1340,TARUN NAGAR
313,4,84.55,1948,DHARAPUR
314,4,81.0,1685,NOONMATI
315,3,47.0,913,DHARAPUR
316,3,78.0,1560,SIX MILE
317,2,42.3,940,JAYANAGAR
318,3,50.87,1375,PANJABARI ROAD
319,3,56.35,1150,PANJABARI BUS STAND
320,3,56.02,1245,JAYANAGAR
321,3,51.75,1150,BELTOLA
322,2,57.0,1150,GS ROAD
323,3,49.37,1250,HATIGAON
324,3,85.3,1741,SIX MILE
325,3,60.0,1300,KHANAPARA
326,2,50.0,1015,SOUTH SARANIA ROAD
327,3,85.3,1741,SIX MILE
328,4,138.0,2300,ZOO ROAD
329,3,61.0,1300,BELTOLA
330,2,36.0,950,SACHAL PATH VIP ROAD BYLANE NUMBER 1
331,1,11.0,300,JAYANAGAR
332,3,57.0,1250,DHARAPUR
333,3,81.92,1463,REHABARI
334,1,22.0,550,BEHARBARI CHARIALI
335,3,55.0,1300,BAMUNIMAIDAN
336,2,42.6,880,BAMUNIMAIDAM
337,3,80.0,1450,BELTOLA
338,3,58.0,1450,KAMAKHYA
339,3,70.0,1350,BELTOLA
340,2,68.0,1250,UZAN BAZAR
341,3,46.0,1250,CHACHAL ROAD
342,3,72.0,1650,GANESHGURI
343,1,23.0,523,DHARAPUR
344,2,45.0,1080,REHABARI
345,3,51.0,1330,BHETAPARA GHORAMARA ROAD
346,4,130.0,2269,TARUN NAGAR
347,3,64.49,1424,DISPUR
348,2,36.0,942,KAHILIPARA
349,3,49.0,1470,DISPUR
350,2,12.0,540,MALIGAON
351,3,57.0,1120,BHETAPARA
352,4,95.5,1988,KAHILIPARA
353,2,49.8,994,KAHILIPARA
354,2,52.3,1028,KAHILIPARA
355,3,68.1,1393,KAHILIPARA
356,3,70.7,1437,KAHILIPARA
357,4,95.5,1988,KAHILIPARA
358,3,45.0,950,SIX MILE
359,2,71.0,1246,BHETAPARA
360,3,65.0,1200,JALUKBARI
361,3,61.0,1100,LACHIT NAGAR
362,3,50.0,1100,KAHILIPARA
363,3,64.0,1001,BETKUCHI
364,3,85.8,1240,SIX MILE
365,3,50.1,884,KALA PAHAR
366,2,35.4,772,KALA PAHAR
367,2,52.4,1140,LOKHRA
368,2,40.5,660,LALMATI
369,3,54.8,808,BETKUCHI
370,3,98.0,1681,KAHILIPARA
371,2,43.0,652,MALIGAON
372,3,58.0,1000,BELTOLA
373,3,70.0,1365,RUKMINI GAON
374,2,35.0,800,SIJUBARI
375,2,37.0,900,BHETAPARA
376,2,49.5,800,AZARA
377,2,42.5,638,AHOM GAON
378,3,70.0,1700,KAHILIPARA
379,3,90.7,1003,REHABARI
380,3,59.0,1404,KAHILIPARA
381,2,58.6,832,BELTOLA
382,2,58.6,832,BELTOLA
383,2,58.7,832,BELTOLA
384,2,58.7,832,BELTOLA
385,3,73.4,1061,BELTOLA
386,2,50.0,720,BHANGAGARH
387,3,64.1,1338,PANJABARI
388,3,67.1,1408,PANJABARI
389,3,69.2,1455,PANJABARI
390,3,39.4,1013,AZARA
391,2,54.0,970,SOUTH SARANIA
392,3,100.0,1604,RUPNAGAR
393,3,58.2,1200,PANJABARI
394,3,59.0,1219,PANJABARI
395,3,60.4,1251,PANJABARI
396,3,60.7,1257,PANJABARI
397,3,82.2,1597,KHANAPARA
398,2,38.1,1002,LOKHRA
399,4,114.99999999999999,1288,CHANDMARI
400,3,59.1,1001,BETKUCHI
401,2,40.0,1095,GUWAHATI
402,2,36.0,675,JALUKBARI
403,3,98.3,1369,ZOO TINIALI
404,3,78.0,1200,MATHGHARIA
405,3,60.9,1262,PANJABARI
406,3,61.2,1269,PANJABARI
407,3,61.2,1270,PANJABARI
408,3,55.0,845,LOKHRA
409,3,61.4,1275,PANJABARI
410,3,62.0,1289,PANJABARI
411,3,98.0,1329,BELTOLA
412,3,67.8,1423,PANJABARI
413,3,69.5,1462,PANJABARI
414,3,6.0,1070,DHIRENPARA
415,2,45.0,800,PALTAN BAZAAR
416,3,55.5,762,JALUKBARI
417,2,66.4,780,UZAN BAZAR
418,2,1.0,900,AZARA
419,3,56.5,1078,BARSAPARA
420,3,150.0,2135,ZOO TINIALI
421,2,40.0,755,SURVEY
422,3,49.9,1147,GARCHUK
423,2,46.4,815,BORAGAON
424,3,69.0,1080,BELTOLA
425,3,70.0,1100,RUKMINI GAON
426,2,55.0,950,RUKMINI GAON
427,3,52.4,1011,KAHILIPARA
428,3,60.0,1350,SIX MILE
429,3,48.0,1140,GEETANAGAR
430,2,41.0,900,LOKHRA
431,3,55.0,1327,GUWAHATI
432,3,84.6,1410,NARENGI TINALI
433,2,35.5,642,DHIRENPARA
434,3,55.0,1100,DOWNTOWN
435,3,58.0,1150,DOWNTOWN
436,2,44.0,750,DOWNTOWN
437,3,60.5,1260,LAL GANESH
438,3,63.0,1150,CHANDMARI
439,3,52.1,851,JALUKBARI
440,3,95.0,1350,BELTOLA
441,2,50.0,1000,BELTOLA
442,3,65.0,1000,JAYANAGAR
443,3,70.0,1048,DOWNTOWN
444,3,65.0,1013,BETKUCHI
445,3,93.0,2000,PANJABARI
446,2,57.3,1138,NALAPARA
447,3,92.0,1450,PANJABARI
448,3,72.0,1131,LOKHRA ROAD
449,2,48.4,1029,KAHILIPARA
450,3,77.9,1320,BHANGAGARH
451,3,64.8,1222,LOKHRA ROAD
452,3,73.5,1362,LOKHRA ROAD
453,3,63.6,1325,AZARA
454,2,53.3,1006,LOKHRA ROAD
455,2,55.0,1037,LOKHRA ROAD
456,3,49.0,1150,RUKMINI GAON
457,2,41.9,556,JALUKBARI
458,3,76.9,1040,MANPARA
459,3,95.0,1533,GUWAHATI
460,3,67.0,1000,REHABARI
461,3,65.0,1375,HENGRABARI
462,2,38.0,900,LOKHRA
463,2,35.0,690,SIX MILE
464,3,70.0,1150,HATIGAON
465,2,43.6,660,GHORAMARA
466,3,50.4,1335,AZARA
467,2,44.9,998,BELTOLA
468,2,50.7,1127,BELTOLA
469,2,44.9,997,BELTOLA
470,2,43.0,956,BELTOLA
471,3,59.8,1329,BELTOLA
472,3,73.0,1623,BELTOLA
473,3,72.1,1602,BELTOLA
474,4,95.6,2124,BELTOLA
475,2,45.1,943,HATIGAON
476,3,70.0,1100,GANESHGURI
477,3,70.0,1069,NALAPARA
478,2,39.5,749,GARCHUK
479,3,75.0,1250,SILPUKHURI
480,3,63.2,1465,PANJABARI
481,4,98.3,1695,SILPUKHURI
482,3,60.0,1290,PANDU
483,2,59.8,1031,KAHILIPARA
484,3,50.5,1402,LOKHRA
485,3,56.0,1150,SUNDARBARI
486,1,35.0,600,ZOO TINIALI
487,2,37.2,826,KAHILIPARA
488,2,34.2,950,LOKHRA
489,2,43.8,715,LALMATI
490,3,56.3,1050,KAHILIPARA
491,3,64.9,983,HATIGAON
492,3,48.5,1050,GUWAHATI
493,3,85.5,1500,BHETAPARA
494,1,25.0,300,BHETAPARA
495,3,74.6,1500,VIP ROAD
496,3,65.0,900,VIP ROAD
497,2,38.4,765,JALUKBARI
498,2,59.0,1015,KAHILIPARA
499,3,43.9,865,JALUKBARI
500,3,117.0,2395,JALUKBARI
501,1,27.9,575,JALUKBARI
502,2,41.4,830,JALUKBARI
503,2,54.0,718,LAL GANESH
504,3,60.0,1150,BHETAPARA
505,2,40.0,1095,MALIGAON
506,2,55.0,1050,GHORAMARA
507,2,38.0,703,DHARAPUR
508,3,47.2,852,DHIRENPARA
509,2,36.2,545,NOONMATI
510,3,45.3,696,NOONMATI
511,3,53.0,900,VIP ROAD
512,3,107.0,960,REHABARI
513,4,114.99999999999999,1288,CHANDMARI
514,4,138.0,1184,REHABARI
515,3,56.6,1300,ZOO ROAD
516,2,40.0,700,KAHILIPARA
517,3,65.0,1080,CHANDAN NAGAR
518,2,42.0,700,SURVEY
519,2,41.0,800,LALMATI
520,3,50.5,750,LANKESHWAR
521,3,49.0,1000,JALUKBARI
522,2,42.0,965,GARCHUK
